* Barcode = SLB96
* Block Type = OpenArray Block
* Chemistry = TAQMAN
* Comment = NA
* Date Created = 05-19-2015 15:23:02 CEST
* Experiment File Name = \\rbamsfp281\Dept_PRB\_Org\Virology iPS\Lucy\Experiments\TaqMan Open Array\2015-05-18 OA David's genes - 2\SLB96_2015_05_18_Davids genes.eds
* Experiment Name = SLB96
* Experiment Run End Time = 05-18-2015 17:56:18 CEST
* Experiment Type = Gene Expression
* Instrument Name = 285880792
* Instrument Serial Number = 285880792
* Instrument Type = QuantStudio 12K Flex
* Passive Reference = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 3
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	Ct	Ct Mean	Ct SD	Amp Score	Cq Conf	CRTAMPLITUDE	HIGHSD	CRTNOISE	ROX Signal
1	A1a1	false	Sample7	Hs00559368_m1	UNKNOWN	FAM	NFQ-MGB	20.442	20.461	0.027	1.454	0.926	N	N	N	5,533.971
2	A1a2	false	Sample7	Hs02576168_g1	UNKNOWN	FAM	NFQ-MGB	23.774	23.743	0.044	1.499	0.982	N	N	N	4,786.588
3	A1a3	false	Sample7	Hs01059246_m1	UNKNOWN	FAM	NFQ-MGB	24.051	24.099	0.067	1.495	0.946	N	N	N	4,785.147
4	A1a4	false	Sample7	Hs00199368_m1	UNKNOWN	FAM	NFQ-MGB	25.816	25.692	0.175	1.522	0.957	N	N	N	4,561.971
5	A1a5	false	Sample7	Hs00187779_m1	UNKNOWN	FAM	NFQ-MGB	25.556	25.621	0.092	1.502	0.955	N	N	N	4,794.853
6	A1a6	false	Sample7	Hs02383390_s1	UNKNOWN	FAM	NFQ-MGB	20.823	20.777	0.065	1.477	0.957	N	N	N	4,414.324
7	A1a7	false	Sample7	Hs00366258_m1	UNKNOWN	FAM	NFQ-MGB	23.010	23.149	0.197	1.606	0.952	N	N	N	5,012.529
8	A1a8	false	Sample7	Hs00957901_g1	UNKNOWN	FAM	NFQ-MGB	22.013	21.943	0.098	1.607	0.961	N	N	N	4,515.882
9	A1b1	false	Sample7	Hs00227775_m1	UNKNOWN	FAM	NFQ-MGB	27.407	27.523	0.165	1.514	0.968	N	N	N	5,247.765
10	A1b2	false	Sample7	Hs00161820_m1	UNKNOWN	FAM	NFQ-MGB	24.383	24.362	0.029	1.421	0.973	N	N	N	4,766.559
11	A1b3	false	Sample7	Hs01040204_m1	UNKNOWN	FAM	NFQ-MGB	26.741	26.746	0.007	1.493	0.960	N	N	N	4,511.147
12	A1b4	false	Sample7	Hs00901571_m1	UNKNOWN	FAM	NFQ-MGB	23.670	23.722	0.074	1.545	0.965	N	N	N	4,462.029
13	A1b5	false	Sample7	Hs00988304_m1	UNKNOWN	FAM	NFQ-MGB	24.063	23.925	0.196	1.589	0.967	N	N	N	4,935.559
14	A1b6	false	Sample7	Hs00240827_m1	UNKNOWN	FAM	NFQ-MGB	23.586	23.534	0.075	1.550	0.961	N	N	N	4,732.412
15	A1b7	false	Sample7	Hs01587865_g1	UNKNOWN	FAM	NFQ-MGB	24.866	25.125	0.367	1.505	0.970	N	N	N	5,111.441
16	A1b8	false	Sample7	Hs00201836_m1	UNKNOWN	FAM	NFQ-MGB	20.944	20.967	0.032	1.568	0.958	N	N	N	4,634.794
17	A1c1	false	Sample7	Hs00174944_m1	UNKNOWN	FAM	NFQ-MGB	25.744	25.750	0.008	1.533	0.970	N	N	N	5,294.118
18	A1c2	false	Sample7	Hs00559542_m1	UNKNOWN	FAM	NFQ-MGB	21.819	21.522	0.420	1.430	0.956	N	N	N	4,439.324
19	A1c3	false	Sample7	Hs00213002_m1	UNKNOWN	FAM	NFQ-MGB	24.424	24.617	0.272	1.458	0.962	N	N	N	5,231.206
20	A1c4	false	Sample7	Hs00743423_s1	UNKNOWN	FAM	NFQ-MGB	20.571	20.757	0.263	1.631	0.971	N	N	N	4,512.676
